key,enabled,identity,password,username
user-account-administrator-02,true,"UserIdentity{name: 'Administrator2', surname: 'Acme2', email: 'administrator2@acme.com'}",administrator2,administrator2
user-account-company-01,true,"UserIdentity{name: 'Comp1', surname: 'Algorithms', email: 'comp1@acme.com'}",company1,company1
user-account-company-02,true,"UserIdentity{name: 'Comp2', surname: 'Reviews', email: 'comp2@acme.com'}",company2,company2
user-account-company-03,true,"UserIdentity{name: 'Comp3', surname: 'Reviews', email: 'comp3@acme.com'}",company3,company3
user-account-company-04,true,"UserIdentity{name: 'Comp4', surname: 'Reviews', email: 'comp4@acme.com'}",company4,company4
user-account-company-05,true,"UserIdentity{name: 'Comp5', surname: 'Reviews', email: 'comp5@acme.com'}",company5,company5
user-account-company-06,true,"UserIdentity{name: 'Comp6', surname: 'Reviews', email: 'comp6@acme.com'}",company6,company6
user-account-company-07,true,"UserIdentity{name: 'Comp7', surname: 'Reviews', email: 'comp7@acme.com'}",company7,company7
user-account-company-08,true,"UserIdentity{name: 'Comp8', surname: 'Reviews', email: 'comp8@acme.com'}",company8,company8
user-account-company-09,true,"UserIdentity{name: 'Comp9', surname: 'Reviews', email: 'comp9@acme.com'}",company9,company9
user-account-company-10,true,"UserIdentity{name: 'Comp10', surname: 'Reviews', email: 'comp10@acme.com'}",company10,company10
user-account-company-11,true,"UserIdentity{name: 'Comp11', surname: 'Reviews', email: 'comp11@acme.com'}",company11,company11
user-account-company-12,true,"UserIdentity{name: 'Comp12', surname: 'Reviews', email: 'comp12@acme.com'}",company12,company12
user-account-company-13,true,"UserIdentity{name: 'Comp13', surname: 'Reviews', email: 'comp13@acme.com'}",company13,company13
user-account-company-14,true,"UserIdentity{name: 'Comp14', surname: 'Reviews', email: 'comp14@acme.com'}",company14,company14
user-account-company-15,true,"UserIdentity{name: 'Comp15', surname: 'Reviews', email: 'comp15@acme.com'}",company15,company15
user-account-company-16,true,"UserIdentity{name: 'Comp16', surname: 'Reviews', email: 'comp16@acme.com'}",company16,company16
user-account-company-17,true,"UserIdentity{name: 'Comp17', surname: 'Reviews', email: 'comp17@acme.com'}",company17,company17
user-account-company-18,true,"UserIdentity{name: 'Comp18', surname: 'Reviews', email: 'comp18@acme.com'}",company18,company18
user-account-company-19,true,"UserIdentity{name: 'Comp19', surname: 'Reviews', email: 'comp19@acme.com'}",company19,company19
user-account-company-20,true,"UserIdentity{name: 'Comp20', surname: 'Reviews', email: 'comp20@acme.com'}",company20,company20
user-account-company-21,true,"UserIdentity{name: 'Comp21', surname: 'Reviews', email: 'comp21@acme.com'}",company21,company21
user-account-lecturer-01,true,"UserIdentity{name: 'Lect', surname: 'Rer', email: 'lect@acme.com'}",lecturer1,lecturer1
user-account-lecturer-02,true,"UserIdentity{name: 'Mist', surname: 'Class', email: 'lect@acme.com'}",lecturer2,lecturer2
user-account-lecturer-03,false,"UserIdentity{name: '御琴羽', surname: '寿沙都', email: 'susa@hotmail.com'}",lecturer3,lecturer3
user-account-lecturer-04,true,"UserIdentity{name: 'Андрей', surname: 'Яков', email: 'a@alum.us.es'}",lecturer4,lecturer4
user-account-lecturer-05,true,"UserIdentity{name: 'Lect5', surname: 'Rer', email: 'lect@acme.com'}",lecturer5,lecturer5
user-account-lecturer-06,true,"UserIdentity{name: 'Lect6', surname: 'Rer', email: 'lect@acme.com'}",lecturer6,lecturer6
user-account-lecturer-07,true,"UserIdentity{name: 'Lect7', surname: 'Rer', email: 'lect@acme.com'}",lecturer7,lecturer7
user-account-lecturer-08,true,"UserIdentity{name: 'Lect8', surname: 'Rer', email: 'lect@acme.com'}",lecturer8,lecturer8
user-account-lecturer-09,true,"UserIdentity{name: 'Lect9', surname: 'Rer', email: 'lect@acme.com'}",lecturer9,lecturer9
user-account-lecturer-10,true,"UserIdentity{name: 'Lect10', surname: 'Rer', email: 'lect@acme.com'}",lecturer10,lecturer10
user-account-lecturer-11,true,"UserIdentity{name: 'Lect11', surname: 'Rer', email: 'lect@acme.com'}",lecturer11,lecturer11
user-account-lecturer-12,true,"UserIdentity{name: 'Lect12', surname: 'Rer', email: 'lect@acme.com'}",lecturer12,lecturer12
user-account-lecturer-13,true,"UserIdentity{name: 'Lect13', surname: 'Rer', email: 'lect@acme.com'}",lecturer13,lecturer13
user-account-lecturer-14,true,"UserIdentity{name: 'Lect14', surname: 'Rer', email: 'lect@acme.com'}",lecturer14,lecturer14
user-account-lecturer-15,true,"UserIdentity{name: 'Lect15', surname: 'Rer', email: 'lect@acme.com'}",lecturer15,lecturer15
user-account-lecturer-16,true,"UserIdentity{name: 'Lect16', surname: 'Rer', email: 'lect@acme.com'}",lecturer16,lecturer16
user-account-lecturer-17,true,"UserIdentity{name: 'Lect17', surname: 'Rer', email: 'lect@acme.com'}",lecturer17,lecturer17
user-account-lecturer-18,true,"UserIdentity{name: 'Lect18', surname: 'Rer', email: 'lect@acme.com'}",lecturer18,lecturer18
user-account-lecturer-19,true,"UserIdentity{name: 'Lect19', surname: 'Rer', email: 'lect@acme.com'}",lecturer19,lecturer19
user-account-lecturer-20,true,"UserIdentity{name: 'Lect20', surname: 'Rer', email: 'lect@acme.com'}",lecturer20,lecturer20
user-account-lecturer-21,true,"UserIdentity{name: 'Lect21', surname: 'Rer', email: 'lect@acme.com'}",lecturer21,lecturer21
user-account-lecturer-22,true,"UserIdentity{name: 'Lect22', surname: 'Rer', email: 'lect@acme.com'}",lecturer22,lecturer22
user-account-lecturer-23,true,"UserIdentity{name: 'Lect23', surname: 'Rer', email: 'lect@acme.com'}",lecturer23,lecturer23
user-account-lecturer-24,true,"UserIdentity{name: 'Lect24', surname: 'Rer', email: 'lect@acme.com'}",lecturer24,lecturer24
user-account-student-01,true,"UserIdentity{name: 'Stu', surname: 'Dant', email: 'student1@acme.com'}",student1,student1
user-account-student-02,true,"UserIdentity{name: 'Estoo', surname: 'Dient', email: 'student2@acme.com'}",student2,student2
user-account-assistant-01,true,"UserIdentity{name: 'Carlos', surname: 'García', email: 'cargar23A@acme.com'}",assistant1,assistant1
user-account-assistant-02,true,"UserIdentity{name: '파블로', surname: '루이즈', email: 'pabruiz1852@acme.com'}",assistant2,assistant2
user-account-assistant-03,true,"UserIdentity{name: 'Emily', surname: 'Johnson', email: 'emily.johnson@example.com'}",assistant3,assistant3
user-account-assistant-04,true,"UserIdentity{name: 'Samantha', surname: 'Lee', email: 'samantha.lee@example.com'}",assistant4,assistant4
user-account-assistant-05,true,"UserIdentity{name: 'William', surname: 'Chen', email: 'william.chen@example.com'}",assistant5,assistant5
user-account-assistant-06,false,"UserIdentity{name: 'Jessica', surname: 'Kim', email: 'jessica.kim@example.com'}",assistant6,assistant6
user-account-assistant-07,true,"UserIdentity{name: 'David', surname: 'Smith', email: 'david.smith@example.com'}",assistant7,assistant7
user-account-assistant-08,true,"UserIdentity{name: 'Daniel', surname: 'Nguyen', email: 'daniel.nguyen@example.com'}",assistant8,assistant8
user-account-assistant-09,true,"UserIdentity{name: 'Ava', surname: 'Brown', email: 'ava.brown@example.com'}",assistant9,assistant9
user-account-assistant-10,false,"UserIdentity{name: 'Michael', surname: 'Liu', email: 'michael.liu@example.com'}",assistant10,assistant10
user-account-assistant-11,true,"UserIdentity{name: 'Sophia', surname: 'Garcia', email: 'sophia.garcia@example.com'}",assistant11,assistant11
user-account-assistant-12,true,"UserIdentity{name: 'Ethan', surname: 'Davis', email: 'ethan.davis@example.com'}",assistant12,assistant12
user-account-assistant-13,false,"UserIdentity{name: 'Olivia', surname: 'Wang', email: 'olivia.wang@example.com'}",assistant13,assistant13
user-account-assistant-14,true,"UserIdentity{name: 'Noah', surname: 'Rodriguez', email: 'noah.rodriguez@example.com'}",assistant14,assistant14
user-account-assistant-15,true,"UserIdentity{name: 'Isabella', surname: 'Lopez', email: 'isabella.lopez@example.com'}",assistant15,assistant15
user-account-assistant-16,true,"UserIdentity{name: 'Mia', surname: 'Gonzalez', email: 'mia.gonzalez@example.com'}",assistant16,assistant16
user-account-assistant-17,true,"UserIdentity{name: 'Jacob', surname: 'Martinez', email: 'jacob.martinez@example.com'}",assistant17,assistant17
user-account-assistant-18,false,"UserIdentity{name: 'Emma', surname: 'Lee', email: 'emma.lee@example.com'}",assistant18,assistant18
user-account-assistant-19,true,"UserIdentity{name: 'Liam', surname: 'Kim', email: 'liam.kim@example.com'}",assistant19,assistant19
user-account-assistant-20,true,"UserIdentity{name: 'Charlotte', surname: 'Chen', email: 'charlotte.chen@example.com'}",assistant20,assistant20
user-account-assistant-21,true,"UserIdentity{name: 'Gabriel', surname: 'Garcia', email: 'gabriel.garcia@example.com'}",assistant21,assistant21
user-account-assistant-22,false,"UserIdentity{name: 'Avery', surname: 'Nguyen', email: 'avery.nguyen@example.com'}",assistant22,assistant22
